   0.00000E+00   0.00000E+00
   0.49864E-03  -0.24603E+01
   0.99728E-03   0.11065E+03
   0.14959E-02   0.62172E+03
   0.19946E-02   0.11999E+04
   0.24932E-02   0.22128E+04
   0.29918E-02   0.29999E+04
   0.34905E-02   0.35674E+04
   0.39891E-02   0.38377E+04
   0.44878E-02   0.37770E+04
   0.49864E-02   0.35409E+04
   0.54850E-02   0.32954E+04
   0.59837E-02   0.30442E+04
   0.64823E-02   0.27920E+04
   0.69810E-02   0.25799E+04
   0.74796E-02   0.23595E+04
   0.79782E-02   0.21532E+04
   0.84769E-02   0.19268E+04
   0.89755E-02   0.17921E+04
   0.94742E-02   0.16138E+04
   0.99728E-02   0.14556E+04
   0.10471E-01   0.13593E+04
   0.10970E-01   0.13136E+04
   0.11469E-01   0.12749E+04
   0.11967E-01   0.11717E+04
   0.12466E-01   0.10466E+04
   0.12965E-01   0.93928E+03
   0.13463E-01   0.82363E+03
   0.13962E-01   0.72680E+03
   0.14461E-01   0.73518E+03
   0.14959E-01   0.75648E+03
   0.15458E-01   0.78778E+03
   0.15956E-01   0.70806E+03
   0.16455E-01   0.66987E+03
   0.16954E-01   0.57700E+03
   0.17452E-01   0.52969E+03
   0.17951E-01   0.55609E+03
   0.18450E-01   0.56735E+03
   0.18948E-01   0.51809E+03
   0.19447E-01   0.52432E+03
   0.19946E-01   0.54493E+03
   0.20444E-01   0.56971E+03
   0.20943E-01   0.58693E+03
   0.21442E-01   0.57345E+03
   0.21940E-01   0.51878E+03
   0.22439E-01   0.52816E+03
   0.22937E-01   0.54289E+03
   0.23436E-01   0.52482E+03
   0.23935E-01   0.47850E+03
   0.24433E-01   0.46558E+03
   0.24932E-01   0.47373E+03
   0.25431E-01   0.48377E+03
   0.25929E-01   0.45420E+03
   0.26428E-01   0.40367E+03
   0.26927E-01   0.36871E+03
   0.27425E-01   0.34145E+03
   0.27924E-01   0.31887E+03
   0.28422E-01   0.31606E+03
   0.28921E-01   0.34459E+03
   0.29420E-01   0.33454E+03
   0.29918E-01   0.31354E+03
   0.30417E-01   0.30692E+03
   0.30916E-01   0.28089E+03
   0.31414E-01   0.30177E+03
   0.31913E-01   0.31340E+03
   0.32412E-01   0.31212E+03
   0.32910E-01   0.30879E+03
   0.33409E-01   0.27183E+03
   0.33908E-01   0.24158E+03
   0.34406E-01   0.22184E+03
   0.34905E-01   0.21094E+03
